terms from text,consensus categories,broad categories
accounting,accounting,business
acoustics,acoustics,science
adaptive dynamics,adaptive dynamics,science
advanced computational science,computer science,science
advanced materials for energy,materials science,science
advanced optical design,optical design,design
aeroecology,aeroecology,science
aeronautics,aeronautics,engineering
aerospace engineering,aerospace engineering,engineering
aerospace systems,aerospace systems,engineering
aging sciences,aging science,science
agricultural and biological engineering,"agricultural engineering, biological engineering",engineering
agricultural and biosystems engineering,"agricultural engineering, biosystems engineering",engineering
agricultural biotechnology,agricultural biotechnology,engineering
agricultural ecology,agricultural ecology,science
agricultural economics,agricultural economics,science
agricultural engineering,agricultural engineering,engineering
agricultural science,agricultural science,science
agricultural sciences,agriculture,science
agricultural systems,agricultural systems,engineering
agriculture science,agricultural science,science
agriculture-related disciplines,agricultural science,science
agriculture/economics,"agriculture, economics",science
agronomy,agronomy,science
ai,artificial intelligence,science
algorithm design,algorithm design,"science, engineering, design"
analytical chemistry,analytical chemistry,science
animal science,animal science,science
animal sciences,animal science,science
anthropology,anthropology,science
applied and engineering physics,"applied physics, engineering physics","science, engineering"
applied anthropology,applied anthropology,science
applied biodiversity science,applied biodiversity science,science
applied economics,applied economics,science
applied engineering,applied engineering,engineering
applied engineering programs,applied engineering,engineering
applied math,applied mathematics,mathematics
applied mathematics,applied mathematics,mathematics
applied mathematics & statistics,"applied mathematics, statistics","mathematics, science"
applied mathematics and statistics,"applied mathematics, statistics","mathematics, science"
applied mechanics,applied mechanics,science
applied physics,applied physics,science
applied physics & applied mathematics,"applied physics, applied mathematics","science, mathematics"
applied science,applied science,science
aquatic science,aquatic science,science
archaeology,archaeology,science
archeology,archeology,science
archeometry,archeometry,science
architecture,architecture,science
arctic research,arctic research,science
art,art,art & humanities
art history,art history,art & humanities
arthropod evolution,arthropod evolution,science
artificial intelligence,artificial intelligence,science
artificial intelligence (ai),artificial intelligence,science
arts,art,art & humanities
arts & sciences,"art, science","art & humanities, science"
arts and humanities,"art, humanities",art & humanities
arts and science,"art, science","art & humanities, science"
arts and sciences,"art, science","art & humanities, science"
astrobiology,astrobiology,science
astronautics,astronautics,engineering
astronomy,astronomy,science
astrophysics,astrophysics,science
atmospheric and marine science,"atmospheric science, marine science",science
atmospheric fluid dynamics,atmospheric fluid dynamics,science
atmospheric science,atmospheric science,science
atmospheric science/meteorology,"atmospheric science, meteorology",science
atmospheric sciences,atmospheric science,science
atomic physics,atomic physics,science
